companyNumber,companyJurisdiction,companyName,officerName,Appears,same,officerPosition,officerStartDate,officerEndDate,officerNationality,officerOccupation
8176019,gb,KENT CATHOLIC SCHOOLS' PARTNERSHIP,MARTIN LEE,4,TRUE,secretary,10/08/12,,,
8176019,gb,KENT CATHOLIC SCHOOLS' PARTNERSHIP,MARTIN LEE,4,TRUE,director,10/08/12,,,DIOCESAN FINANCIAL SECRETARY
8176019,gb,KENT CATHOLIC SCHOOLS' PARTNERSHIP,MARTIN LEE,4,TRUE,secretary,10/08/12,20/04/16,,
8176019,gb,KENT CATHOLIC SCHOOLS' PARTNERSHIP,MARTIN LEE,4,FALSE,director,10/08/12,20/04/16,,DIOCESAN FINANCIAL SECRETARY
8149829,gb,EMLC ACADEMY TRUST,JAMES FAIRLIE,3,TRUE,director,17/02/13,,,COMPANY DIRECTOR
8149829,gb,EMLC ACADEMY TRUST,JAMES FAIRLIE,3,TRUE,director,17/02/13,12/07/16,,COMPANY DIRECTOR
8149829,gb,EMLC ACADEMY TRUST,JAMES FAIRLIE,3,FALSE,director,12/07/16,,,TRUSTEE DIRECTOR
8179242,gb,THE STOUR ACADEMY TRUST,JULIE IRELAND,3,TRUE,director,14/08/12,,,HLTA
8179242,gb,THE STOUR ACADEMY TRUST,JULIE IRELAND,3,TRUE,director,14/08/12,01/02/16,,HLTA
8179242,gb,THE STOUR ACADEMY TRUST,JULIE IRELAND,3,FALSE,secretary,01/02/16,,,
8149829,gb,EMLC ACADEMY TRUST,KEITH MCCOSH MARSHALL,3,TRUE,director,09/07/13,,,SELF-EMPLOYED
8149829,gb,EMLC ACADEMY TRUST,KEITH MCCOSH MARSHALL,3,TRUE,director,09/07/13,12/07/16,,SELF-EMPLOYED
8149829,gb,EMLC ACADEMY TRUST,KEITH MCCOSH MARSHALL,3,FALSE,director,12/07/16,,,TRUSTEE DIRECTOR
7808732,gb,CARMEL EDUCATION TRUST,PRIMA SECRETARY LIMITED,3,FALSE,secretary,03/04/13,,,
8098007,gb,THE ASCENT ACADEMIES' TRUST,PRIMA SECRETARY LIMITED,3,FALSE,secretary,17/10/14,,,
6544825,gb,SENTAMU ACADEMY LEARNING TRUST,PRIMA SECRETARY LIMITED,3,FALSE,secretary,26/03/08,26/01/11,,
6625091,gb,ACADEMIES ENTERPRISE TRUST,STEPHEN MARK LEVERETT,3,TRUE,secretary,13/11/08,01/04/12,,RETIRED
6625091,gb,ACADEMIES ENTERPRISE TRUST,STEPHEN MARK LEVERETT,3,TRUE,director,19/09/14,03/06/15,,RETIRED
6625091,gb,ACADEMIES ENTERPRISE TRUST,STEPHEN MARK LEVERETT,3,TRUE,director,13/11/08,14/09/14,,RETIRED
6625091,gb,ACADEMIES ENTERPRISE TRUST,TREVOR JOHN FULCHER,3,TRUE,director,01/01/09,01/10/12,,CONSULTANT
6625091,gb,ACADEMIES ENTERPRISE TRUST,TREVOR JOHN FULCHER,3,TRUE,director,23/07/13,,,COMMERCIAL DIRECTOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,TREVOR JOHN FULCHER,3,TRUE,director,23/07/13,25/05/16,,COMMERCIAL DIRECTOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,ADAM GAUNT,2,TRUE,director,10/10/14,,,CLERK IN HOLY ORDERS
6625091,gb,ACADEMIES ENTERPRISE TRUST,ADAM GAUNT,2,FALSE,director,10/10/14,25/05/16,,CLERK IN HOLY ORDERS
8441736,gb,FREEMAN'S ENDOWED CHURCH OF ENGLAND JUNIOR ACADEMY,ADDISON CASWALL WORRELL,2,TRUE,director,12/03/13,,,ACCOUNTANT
8441736,gb,FREEMAN'S ENDOWED CHURCH OF ENGLAND JUNIOR ACADEMY,ADDISON CASWALL WORRELL,2,FALSE,director,12/03/13,09/06/16,,ACCOUNTANT
7808732,gb,CARMEL EDUCATION TRUST,ADRIAN JOHN FRANK,2,TRUE,director,01/03/13,,,TEACHER
7808732,gb,CARMEL EDUCATION TRUST,ADRIAN JOHN FRANK,2,FALSE,director,01/03/13,13/06/16,,TEACHER
6182612,gb,THE DAVID ROSS EDUCATION TRUST,ALAN GEOFFREY HANCOCK,2,TRUE,director,15/10/09,,,RETIRED SCHOOLMASTER
6182612,gb,THE DAVID ROSS EDUCATION TRUST,ALAN GEOFFREY HANCOCK,2,FALSE,director,22/04/16,,,RETIRED SCHOOLMASTER
7977368,gb,FARINGDON ACADEMY OF SCHOOLS,ALUN WILLIAMS,2,TRUE,director,19/04/12,,,MARKETING CONSULTANT
7977368,gb,FARINGDON ACADEMY OF SCHOOLS,ALUN WILLIAMS,2,FALSE,director,19/04/12,29/02/16,,MARKETING CONSULTANT
7565242,gb,PENINSULA LEARNING TRUST,ANDREW JAMES WALLACE DEAN,2,TRUE,director,15/03/11,19/01/14,,LANDLORD
7565242,gb,PENINSULA LEARNING TRUST,ANDREW JAMES WALLACE DEAN,2,FALSE,director,13/02/14,15/01/15,,PROPERTY LANDLORD
7808732,gb,CARMEL EDUCATION TRUST,ANNE SALES,2,TRUE,director,01/11/11,,,RETIRED
7808732,gb,CARMEL EDUCATION TRUST,ANNE SALES,2,FALSE,director,01/11/11,10/03/16,,RETIRED
8179242,gb,THE STOUR ACADEMY TRUST,ASHOK KUMAR REHAL,2,TRUE,director,01/11/15,01/11/15,,DIRECTOR
8179242,gb,THE STOUR ACADEMY TRUST,ASHOK KUMAR REHAL,2,FALSE,director,01/11/14,31/07/15,,DIRECTOR
6625091,gb,ACADEMIES ENTERPRISE TRUST,BRIAN MARSHALL,2,FALSE,secretary,19/06/08,19/06/08,,
7543874,gb,KENNET SCHOOL ACADEMIES TRUST,BRIAN MARSHALL,2,FALSE,director,01/04/11,31/08/12,,NONE
8441848,gb,BRENTSIDE PRIMARY ACADEMY,CAROLINE CROSDALE,2,TRUE,director,01/04/13,03/11/13,,DEPUTY HEAD
8441848,gb,BRENTSIDE PRIMARY ACADEMY,CAROLINE CROSDALE,2,FALSE,director,06/02/15,,,DEPUTY HEAD TEACHER
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,CAROLINE MARY ELIZABETH HYDE,2,TRUE,director,12/02/13,,,COMPANY DIRECTOR
8399801,gb,THE BISHOP WHEELER CATHOLIC ACADEMY TRUST,CAROLINE MARY ELIZABETH HYDE,2,FALSE,director,12/02/13,,,COMPANY DIRECTOR & DEPUTY DIRECTOR OF ED
7543874,gb,KENNET SCHOOL ACADEMIES TRUST,CATHERINE MARY FOX,2,TRUE,director,26/09/12,21/01/14,,BROADCAST JOURNALIST AND MEDIA TRAINER
7543874,gb,KENNET SCHOOL ACADEMIES TRUST,CATHERINE MARY FOX,2,FALSE,director,01/04/11,31/08/12,,BROADCAST JOURNALIST AND MEDIA TRAINER
8179349,gb,INSPIRATION TRUST,CATHERINE MARY MONTGOMERY,2,TRUE,secretary,01/02/14,,,
8179349,gb,INSPIRATION TRUST,CATHERINE MARY MONTGOMERY,2,FALSE,secretary,01/02/14,18/09/15,,
8905350,gb,WOODFIELD SCHOOL,CHRISTINE ELIZABETH JUSTIC,2,TRUE,director,20/02/14,,,COMPANY DIRECTOR
8905350,gb,WOODFIELD SCHOOL,CHRISTINE ELIZABETH JUSTIC,2,FALSE,director,20/02/14,26/02/16,,COMPANY DIRECTOR
9484306,gb,TEACH POOLE,CHRISTOPHER JAMES YOULDEN,2,TRUE,director,11/03/15,,,RETIRED
9484306,gb,TEACH POOLE,CHRISTOPHER JAMES YOULDEN,2,FALSE,director,11/03/15,14/09/16,,RETIRED
7652476,gb,TREWIRGIE JUNIOR SCHOOL,CLAIRE PASCOE,2,TRUE,director,15/11/12,,,HOUSEWIFE
7652476,gb,TREWIRGIE JUNIOR SCHOOL,CLAIRE PASCOE,2,FALSE,director,15/11/12,22/06/15,,HOUSEWIFE
7890769,gb,REDDISH VALE ACADEMY TRUST,COLIN SHORT,2,FALSE,director,31/08/13,,,DEPUTY HEADTEACHER
8098007,gb,THE ASCENT ACADEMIES' TRUST,COLIN SHORT,2,FALSE,director,17/01/13,,,RETIRED (HEAD TEACHER)
7697158,gb,WEST KIRBY GRAMMAR SCHOOL,DARRYL ELLSON,2,TRUE,director,03/07/13,,,TEACHER
7697158,gb,WEST KIRBY GRAMMAR SCHOOL,DARRYL ELLSON,2,FALSE,director,03/07/13,01/01/16,,TEACHER
7442789,gb,THE DE FERRERS TRUST,DAVID JOHN MOSS,2,TRUE,director,17/11/10,02/07/13,,ACCOUNTANT
